author,date,comment
oidjsf,1401-02-03,"منظور این شعر اینه که بهشت و جهنم کشکه, برو حالتو بکن"
oidjsf,1401-02-03,بسیار عالی گفتید. به این میگویند تفسیر درست (و عمومی) شعر خیام :)
oidjsf,1401-02-03,بنظر من منظور خیام این بوده که آن دنیا آینه تمام نمای این دنیاست اگر بد کنی بد میبینی و می خوردن بد نیست چون خدا به بندگانش در بهشت وعده آنرا داده پس بخورید بدون احساس گناه
oidjsf,1401-02-03,برداشتی که از این رباعی می توان داشت این است که عده ای بهشت را بخاطر حوریان بهشتی می خواهند در حالی که خیام بهشت را بخاطر می و شراب نابش می طلبد و دوست دارد... !!!!
oidjsf,1401-02-03,من قصد بی احترامی ندارم اما اشتباه میکنید. این نقد بگیر و دست از آن نسیه بدار منطور این است که بهشت و جهنم ما حمین حال است ... به امید بهشت آیینده ننشینید ... بهشتتان را همین امروز و در همین زمان حال بسازید چون کاواز دهل شنیدن از دور خوش است. ول کن بهشت و جهنمو .. در زمان حال جوری زندگی کن و از زندگیت لذت ببر که بهشت تو همین حال باشد.
oidjsf,1401-02-03,جمله ی اخر اقای محمد اوج تفکر عرفانی یک حقیقت عمیق است...
oidjsf,1401-02-03,من به گفته م ح موافقم، بر علاوه چون کنایه از آب انگور ویا می در اشعار،  نور حق یا نور خداوندی میباشد، از این رو  برداشت از رباعی خیام این است  که حاضر نقد را بگیر یعنی در زندگی خویش نور حق را حاصل کن زیرا تا زمانیکه در زندگی امروز قلب انسان با نور حق آراسته نگردد نمتوان بهشت را حاصل کرد.
oidjsf,1401-02-03,@م.ح: در تمامِ اشعارِ خیّام درباره‌یِ زندگی کردن در زمانِ حال هست و هیچ‌جا دم از آخرت و این‌ها نمیزنه
oidjsf,1401-02-03,به شعرِ پایین توجّه کنید:
oidjsf,1401-02-03,از دی که گذشت هیچ ازو یاد مکن/فردا که نیامده ست فریاد مکن/برنامده و گذشته بنیاد مکن/حالی خوش باش و عمر بر باد مکن
oidjsf,1401-02-03,مثلاً یه نمونه بود...یا:
oidjsf,1401-02-03,قرآن که مهین کلام خوانند آن را/گه گاه نه بر دوام خوانند آن را/بر گرد پیاله آیتی هست مقیم/کاندر همه جا مدام خوانند آن را
oidjsf,1401-02-03,چه آدمای ساده ای هستند اونایی که فکر میکنند وقتی خیام گفته شراب، منظورش شراب بوده!
oidjsf,1401-02-03,منظور خیام اینه که تویی که خلیفه خدا روی زمین هستی، سعی کن روی زمین هم برای خودت بهشتی خلق کنی و خداگونه زندگی کنی، یعنی صفات خدا رو در رفتار و اعمال خودت متجلی کنی...
oidjsf,1401-02-03,@می گسار:
